id	sale_price
1224953950	172.88 BRL
1224953954	172.88 BRL
1224953957	172.88 BRL
1224953961	172.88 BRL
1224953965	172.88 BRL
1224953969	172.88 BRL
1224953975	172.88 BRL
1224953979	172.88 BRL
1224953985	172.88 BRL
1224953991	163.19 BRL
1224953995	163.19 BRL
1224953999	163.19 BRL
1224954005	163.19 BRL
1224954010	163.19 BRL
1224954013	163.19 BRL
1224954016	163.19 BRL
1224954022	163.19 BRL
1224954026	163.19 BRL
1224954030	163.19 BRL
1224954035	163.19 BRL
1224954038	163.19 BRL
1224954041	163.19 BRL
1224954045	163.19 BRL
1224954048	163.19 BRL
1224954054	163.19 BRL
1224976611	211.19 BRL
1224976613	211.19 BRL
1224976617	211.19 BRL
1224976618	211.19 BRL
1224976621	211.19 BRL
1224976623	211.19 BRL
1224976626	211.19 BRL
1224976627	211.19 BRL
1224976630	225.26 BRL
1224976633	225.26 BRL
1224976636	225.26 BRL
1224976638	225.26 BRL
1224976641	225.26 BRL
1224976645	225.26 BRL
1224976649	225.26 BRL
1224976654	225.26 BRL
1224976660	225.26 BRL
1224976661	225.26 BRL
1224976664	211.19 BRL
1224976668	211.19 BRL
1224976672	211.19 BRL
1224976677	211.19 BRL
1224976678	211.19 BRL
1224976683	211.19 BRL
1224976688	211.19 BRL
1224976690	211.19 BRL
1224976692	211.19 BRL
1224976695	211.19 BRL
1224976697	211.19 BRL
1224976701	211.19 BRL
1255714259	249.59 BRL
1255714266	249.59 BRL
1255714274	249.59 BRL
1255714281	249.59 BRL
1255714286	249.59 BRL
1255714290	249.59 BRL
1255714299	249.59 BRL
1255714303	249.59 BRL
1255714310	249.59 BRL
1255714316	249.59 BRL
1255714322	249.59 BRL
1255714330	249.59 BRL
1255714334	249.59 BRL
1255714341	249.59 BRL
1255714348	249.59 BRL
1255714352	249.59 BRL
1255714359	249.59 BRL
1255714363	249.59 BRL
1255714367	249.59 BRL
1255714371	249.59 BRL
1255714377	249.59 BRL
1255714383	249.59 BRL
1255714385	249.59 BRL
1255714392	249.59 BRL
1255714398	249.59 BRL
1255714403	249.59 BRL
1255714412	249.59 BRL
1255714418	249.59 BRL
1255714427	249.59 BRL
1255714433	249.59 BRL
1255714444	249.59 BRL
1255714450	249.59 BRL
1255714458	249.59 BRL
1255714466	249.59 BRL
1255714474	249.59 BRL
1255714482	249.59 BRL
1255725784	441.59 BRL
1255725792	441.59 BRL
1255725798	441.59 BRL
1255725803	441.59 BRL
1255725808	441.59 BRL
1255725811	441.59 BRL
1255725818	441.59 BRL
1255725820	441.59 BRL
1255725827	441.59 BRL
1255725832	441.59 BRL
1255725835	441.59 BRL
1255725840	441.59 BRL
1255725844	441.59 BRL
1255725851	441.59 BRL
1255725857	441.59 BRL
