janela,data,numero_fatura,valor_total,campanha,imposto,situacao,arquivo
01-08 a 14-08,2026-08-12,FBADS-757-106416192,"9,26","8,13","1,13",paga,Glauber_Meta_2026-08-12_NF106416192.pdf
01-08 a 14-08,2026-08-12,FBADS-757-106416194,"152,69","134,14","18,55",paga,Glauber_Meta_2026-08-12_NF106416194.pdf
01-08 a 14-08,2026-08-13,FBADS-757-106420216,"69,95","61,45","8,50",paga,Glauber_Meta_2026-08-13_NF106420216.pdf
01-08 a 14-08,2026-08-13,FBADS-757-106420226,"1166,31","1024,61","141,70",paga,Glauber_Meta_2026-08-13_NF106420226.pdf
01-08 a 14-08,2026-08-14,FBADS-757-106427018,"2,48","2,18","0,30",paga,Glauber_Meta_2026-08-14_NF106427018.pdf
01-08 a 14-08,2026-08-14,FBADS-757-106427020,"1670,24","1467,31","202,93",paga,Glauber_Meta_2026-08-14_NF106427020.pdf
15-08 a 28-08,2026-08-15,(sem nº — aporte de saldo),"8,17",,,recusada,Glauber_Meta_2026-08-15_APORTE-SEM-NF_RECUSADA.pdf
15-08 a 28-08,2026-08-15,(sem nº — aporte de saldo),"27,29",,,recusada,Glauber_Meta_2026-08-15_APORTE-SEM-NF_RECUSADA_2.pdf
15-08 a 28-08,2026-08-15,FBADS-757-106431695,"1115,27","979,77","135,50",paga,Glauber_Meta_2026-08-15_NF106431695.pdf
15-08 a 28-08,2026-08-19,FBADS-757-106453016,"40,81","35,85","4,96",paga,Glauber_Meta_2026-08-19_NF106453016.pdf
15-08 a 28-08,2026-08-19,FBADS-757-106453530,"9,85","8,65","1,20",paga,Glauber_Meta_2026-08-19_NF106453530.pdf
15-08 a 28-08,2026-08-19,FBADS-757-106453535,"364,24","319,99","44,25",paga,Glauber_Meta_2026-08-19_NF106453535.pdf
15-08 a 28-08,2026-08-19,FBADS-757-106454046,"17,89","15,72","2,17",paga,Glauber_Meta_2026-08-19_NF106454046.pdf
15-08 a 28-08,2026-08-19,FBADS-757-106454052,"381,31","334,98","46,33",paga,Glauber_Meta_2026-08-19_NF106454052.pdf
15-08 a 28-08,2026-08-19,FBADS-757-106454854,"7,90","6,94","0,96",paga,Glauber_Meta_2026-08-19_NF106454854.pdf
15-08 a 28-08,2026-08-19,FBADS-757-106454860,"379,29","333,21","46,08",paga,Glauber_Meta_2026-08-19_NF106454860.pdf
15-08 a 28-08,2026-08-20,FBADS-757-106458422,"7,05","6,19","0,86",paga,Glauber_Meta_2026-08-20_NF106458422.pdf
15-08 a 28-08,2026-08-20,FBADS-757-106458424,"1383,65","1215,54","168,11",paga,Glauber_Meta_2026-08-20_NF106458424.pdf
15-08 a 28-08,2026-08-21,(sem nº — aporte de saldo),"18,99",,,recusada,Glauber_Meta_2026-08-21_APORTE-SEM-NF_RECUSADA.pdf
15-08 a 28-08,2026-08-21,(sem nº — aporte de saldo),"20,77",,,recusada,Glauber_Meta_2026-08-21_APORTE-SEM-NF_RECUSADA_2.pdf
15-08 a 28-08,2026-08-21,FBADS-757-106462328,"2,09","1,84","0,25",paga,Glauber_Meta_2026-08-21_NF106462328.pdf
15-08 a 28-08,2026-08-21,FBADS-757-106462330,"173,44","152,37","21,07",paga,Glauber_Meta_2026-08-21_NF106462330.pdf
15-08 a 28-08,2026-08-21,FBADS-757-106462876,"11,89","10,45","1,44",paga,Glauber_Meta_2026-08-21_NF106462876.pdf
15-08 a 28-08,2026-08-21,FBADS-757-106464533,"199,72","175,45","24,27",paga,Glauber_Meta_2026-08-21_NF106464533.pdf
15-08 a 28-08,2026-08-22,FBADS-757-106467984,"631,32","554,62","76,70",paga,Glauber_Meta_2026-08-22_NF106467984.pdf
15-08 a 28-08,2026-08-23,FBADS-757-106472312,"645,38","566,97","78,41",paga,Glauber_Meta_2026-08-23_NF106472312.pdf
15-08 a 28-08,2026-08-23,FBADS-757-106472318,"11,85","10,41","1,44",paga,Glauber_Meta_2026-08-23_NF106472318.pdf
15-08 a 28-08,2026-08-23,FBADS-757-106472771,"100,23","88,05","12,18",paga,Glauber_Meta_2026-08-23_NF106472771.pdf
15-08 a 28-08,2026-08-25,FBADS-757-106482711,"1140,15","1001,63","138,52",paga,Glauber_Meta_2026-08-25_NF106482711.pdf
15-08 a 28-08,2026-08-25,FBADS-757-106482716,"276,79","243,16","33,63",paga,Glauber_Meta_2026-08-25_NF106482716.pdf
15-08 a 28-08,2026-08-27,(sem nº — aporte de saldo),"1506,35",,,recusada,Glauber_Meta_2026-08-27_APORTE-SEM-NF_RECUSADA.pdf
15-08 a 28-08,2026-08-27,(sem nº — aporte de saldo),"1525,41",,,recusada,Glauber_Meta_2026-08-27_APORTE-SEM-NF_RECUSADA_2.pdf
15-08 a 28-08,2026-08-27,(sem nº — aporte de saldo),"1156,85",,,recusada,Glauber_Meta_2026-08-27_APORTE-SEM-NF_RECUSADA_3.pdf
15-08 a 28-08,2026-08-27,(sem nº — aporte de saldo),"146,99",,,recusada,Glauber_Meta_2026-08-27_APORTE-SEM-NF_RECUSADA_4.pdf
15-08 a 28-08,2026-08-27,(sem nº — aporte de saldo),"1168,98",,,recusada,Glauber_Meta_2026-08-27_APORTE-SEM-NF_RECUSADA_5.pdf
15-08 a 28-08,2026-08-27,(sem nº — aporte de saldo),"1115,63",,,recusada,Glauber_Meta_2026-08-27_APORTE-SEM-NF_RECUSADA_6.pdf
15-08 a 28-08,2026-08-27,FBADS-757-106492341,"304,40","267,42","36,98",paga,Glauber_Meta_2026-08-27_NF106492341.pdf
15-08 a 28-08,2026-08-27,FBADS-757-106492345,"349,52","307,05","42,47",paga,Glauber_Meta_2026-08-27_NF106492345.pdf
15-08 a 28-08,2026-08-27,FBADS-757-106492456,"11,81","10,38","1,43",paga,Glauber_Meta_2026-08-27_NF106492456.pdf
15-08 a 28-08,2026-08-27,FBADS-757-106492457,"11,81","10,38","1,43",paga,Glauber_Meta_2026-08-27_NF106492457.pdf
15-08 a 28-08,2026-08-28,FBADS-757-106496561,"2,41","2,12","0,29",paga,Glauber_Meta_2026-08-28_NF106496561.pdf
15-08 a 28-08,2026-08-28,FBADS-757-106496568,"1706,20","1498,90","207,30",paga,Glauber_Meta_2026-08-28_NF106496568.pdf
15-08 a 28-08,2026-08-28,FBADS-757-106497706,"0,90","0,79","0,11",paga,Glauber_Meta_2026-08-28_NF106497706.pdf
