id,title,brand,custom_label_0,custom_label_1,sale_price
27387,Acrilex Tinta vidro a base de água 37ml 01140 - 20866 - 20866.preto520,Acrilex,,,13.66 BRL
4007,Botão 4 Furos 1010/24 brilho com borda c/144 unidades - Corozita,Corozita,,TOPO_BUSCA,27.31 BRL
4008,Botão 4 Furos 1010/24 brilho com borda c/144 unidades - Corozita - 1010-Marrom-57,Corozita,,TOPO_BUSCA,27.31 BRL
16141,Kasmaq Aparelho de viés 1 dobra Galoneira Industrial - 50 mm,Kasmaq,,,53.53 BRL
4808,Botão de pressão - Ritas - Scovill - 1000 unidades - Preto - Preto-12,Ritas,,TOPO_BUSCA,89.04 BRL
6365,Kasmaq Aparelho de viés 1 dobra Galoneira Industrial - 30mm,Kasmaq,,,53.53 BRL
29081,Britannia Fita Grelot Pompom Britânia - 9038/1 10mm x 10mts,Britannia,,,23.49 BRL
849,Botão 4 Furos 6057 com 50 Unidades - Dourado,Roma Aviamentos,,TOPO_BUSCA,17.48 BRL
15663,"Marilda Bordado mod.38 peça com 10m X 2,1cm branco - 8166",Marilda,,,7.87 BRL
6367,Kasmaq Aparelho de viés 1 dobra Galoneira Industrial - 40mm,Kasmaq,,,53.53 BRL
6368,Kasmaq Aparelho de viés 1 dobra Galoneira Industrial - 20mm,Kasmaq,,,44.79 BRL
36084,Botão c/pe c/perola 7186/26 c/50un - Dourado - 30833,Roma Aviamentos,,,19.67 BRL
4923,Baxmann Ilhos com arruela garra caixa/200un FOV ouro velho - 2,Baxmann,,TOPO_BUSCA,100.51 BRL
9235,Guarany Tiracor guarani 40g un. - 9455,Guarany,,,4.27 BRL
31546,Botão com Borda 4 furos Branco pct. com 50un. - 5099 - 5099-Tam.54=35mm,Roma Aviamentos,,,16.94 BRL
1014,Botão com Borda 4 furos Branco pct. com 50un. - 5099,Roma Aviamentos,,,11.48 BRL
31544,Botão com Borda 4 furos Branco pct. com 50un. - 5099 - 5099-Tam.32=21mm,Roma Aviamentos,,,11.48 BRL
4026,Botão 4 Furos 1010/32 brilho com borda c/144 unidades - Corozita - 1010-Chumbo17,Corozita,,TOPO_BUSCA,55.72 BRL
4023,Botão 4 Furos 1010/32 brilho com borda c/144 unidades - Corozita - 1010-Bege-50,Corozita,,TOPO_BUSCA,55.72 BRL
4030,Botão 4 Furos 1010/32 brilho com borda c/144 unidades - Corozita - 1010-AzulClaro25,Corozita,,TOPO_BUSCA,55.72 BRL
4022,Botão 4 Furos 1010/32 brilho com borda c/144 unidades - Corozita - 1010-Chocolate-03,Corozita,,TOPO_BUSCA,55.72 BRL
6362,Kasmaq Aparelho de viés 1 dobra Galoneira Industrial,Kasmaq,,,44.79 BRL
563,Botão com pé brasão onix 9250 - 50 unidades,Roma Aviamentos,,,15.30 BRL
8267,Kasmaq Aparelho de viés 2 dobra Galoneira Industrial - 45mm,Kasmaq,,,53.53 BRL
8266,Kasmaq Aparelho de viés 2 dobra Galoneira Industrial,Kasmaq,,,44.79 BRL
8268,Kasmaq Aparelho de viés 2 dobra Galoneira Industrial - 40mm,Kasmaq,,,44.79 BRL
